IPTU           Imposto sobre imóveis urbanos                                                                       
EPITÁFIO       Inscrição sobre lápides tumulares ou monumentos funerários                                          
PRESIDENTE     Aquele que tem a função de ocupar o primeiro lugar numa junta, empresa, comunidade, coro, concílio  
GIZ            Calcário reduzido a pó e moldado em forma de bastonete, usado para escrever, desenhar, riscar.      
EGITO          Civilização do Antigo Oriente Próximo do Norte de África, concentrada ao longo ao do rio Nilo       
VOLEIBOL       Esporte disputado entre duas equipes , em quadra retangular, dividida ao meio por uma rede          
GAIVOTA        Designação dada a várias aves marinhas palmípedes da família dos larídeos                           
PACOTE         Pequeno embrulho                                                                                    
CIANETO        Nome do composto químico que contém o grupo ciano, altamente tóxico                                 
INVÁLIDO       Aquele que, por deficiência física ou mental, se tornou incapaz de levar uma vida profissional      
PRESENTE       Que se encontra ou está à vista em determinado lugar                                                
TUBARÃO        São peixes , grandes predadores e embora de discutida qualidade, sua carne é muito consumida        
PROTESTO       Ato ou efeito de reclamar; queixa, reclamação                                                       
AVIÃO          Aeronave de propulsão a motor, cuja sustentação no ar é assegurada por meio de asas                 
TREM           Série de vagões engatados entre si e puxados por uma locomotiva                                     
ALGODÃO        Fibra branca que cresce a volta das sementes de algumas espécies, utilizada na área têxtil          
SALMÃO         Peixe do Atlântico norte,com carne que possui excelente sabor e alto valor comercial                
CABIDE         Gancho preso a uma parede e em que se penduram roupas, chapéus, toalhas, bengalas etc               
LIVRARIA       Estabelecimento com livros                                                                          
GALÁXIA        Sistema estelar isolado no espaço cósmico, ao qual pertencem o Sol e mais de cem bilhões de corpos  
UVA            Fruto utilizado frequentemente para produzir doce, vinho e passas                                   
MAÇA           Arma formada por um cabo comprido, com uma pesada bola de ferro dentada                             
PERA           Fruto da pereira                                                                                    
MANGA          Parte da vestimenta, de forma e dimensões variáveis, e que recobre o braço total ou parcialmente    
CORTINA        Peça de pano ou de outro material usada para proteger ou adornar janelas, portas, leitos            
CALENDÁRIO     Sistema para contagem e agrupamento de dias, meses, anos                                            
RELÓGIO        Maquinismo ou aparelho que serve para marcar o tempo e indicar as horas                             
AMPULHETA      Artefato de medir o tempo constituído por um recipiente originalmente de vidro preenchido de areia  
INFRAVERMELHO  Tipo de radiação eletromagnética que apresenta frequência menor que a da luz visível ao olho humano 
BARRIL         Recipiente de madeira destinado a conservar ou transportar algo                                     
SORO           Solução de substância orgânica ou mineral usada na hidratação ou alimentação                        
LUVA           Vestimenta que cobre as mãos, punho e parte do antebraço                                            
INJEÇÂO        Ato de injetar sob pressão líquido ou gás no organismo com o auxílio de seringa e agulha            
ROUPA          Objeto usado para cobrir certas partes do corpo                                                     
FERRAMENTA     Apetrecho de metal usado em artes e ofícios                                                         
MARFIM         Dente do elefante, antes de transformado em artefato                                                
NUCLEAR        Referente a um núcleo                                                                               
ESPUMA         Conjunto de minúsculas bolhas                                                                       
CARTAS         Meio escrito de comunicação                                                                         
FUNIL          Utensílio em forma de cone usado para despejar líquidos em recipientes de boca estreita             
BARBEADOR      Lânima usada para barbear                                                                           
PADRASTO       Homem em relação aos filhos anteriores da mulher                                                    
DETETIVE       Agente de investigação                                                                              
BROTO          Saliência que dá origem a um novo indivíduo                                                         
LIVRO          Coleção de folhas de papel, reunidas em cadernos, cujos dorsos são unidos                           
COTOVELO       Região na parte posterior da articulação do braço                                                   
DESTILAR       Processo químico no qual o elemento vair sair em gotas                                              
RIFLE          Carabina de cano longo                                                                              
ANDORINHA      Ave migratória comum em Campinas                                                                    
GRAFITE        Rabisco ou desenho simplificado, iniciais do autor, ou feitos em paredes e muros                    
CRUZ VERMELHA  Organização internacional, com objetivo de prestar socorro às pessoas vítimas de guerras            
PADRE          Homem que recebeu ordenação sacerdotal                                                              
POESIA         Composição poética de pequena extensão                                                              
PORCO ESPINHO  Roedores de corpo atarracado, patas curtas e longos espinhos protetores                             
ESTRIBO        Espécie de aro de metal, madeira ou sola que pende de cada lado da sela                             
CEBOLA         Planta de folhas compridas e cilíndricas, cujo bolbo é usado na alimentação                         
GIRASSOL       Flor que segue uma estrela                                                                          
LIXEIRA        Recipiente de forma e tamanho variados, móvel ou fixo, onde se reúne o lixo                         
BIGODES        Homônimo a "grandes deuses" em inglês                                                               
PÁ             Utensílio que consiste numa grande colher,adaptado a um cabo usada para escavar                     
CONDE          Na Idade Média e na Moderna, aquele que detinha o comando militar de um território                  
CABO           Graduação hierárquica militar imediatamente superior ao soldado                                     
PAPAGAIO       Ave que memoriza e repete o que ouve                                                                
SINO           Instrumento obcônico, oco, normalmente feito de bronze                                              
CATEDRAL       Templo cristão em que se encontra a sede de um bispo                                                
FITA           Tira fina usada para colar                                                                          
